tag,total,count,indicators,subfield,sample_bibs
040,44560409,5,__,f,1196696 3109910 3110034 4206596 15543354
040,44560409,4,0_,a,6576012 6576012 6857559 12960482
040,44560409,3,_4,a,2605807 9803220 11666923
040,44560409,3,__,x,2564173 2732720 4586756
040,44560409,2,0_,c,6857559 12960482
040,44560409,2,_4,b,2605807 11666923
040,44560409,2,__,6,13347301 15877988
040,44560409,2,__,i,10166576 13002056
040,44560409,1,0_,d,6857559
040,44560409,1,1_,a,7628630
040,44560409,1,1_,h,7628630
040,44560409,1,_1,d,12214514
040,44560409,1,_4,c,9803220
040,44560409,1,_4,d,9803220
040,44560409,1,__,4,8896985
040,44560409,1,__,M,13694696
040,44560409,1,__,g,5525458
040,44560409,1,__,h,593245
040,44560409,1,__,s,2989776
650,40545168,15045177,_0,a,3 6 9 9 10 10 11 12 12 13 907208 907211 907214 907217 907217 907223 907229 907230 907230 907230 1830114 1830115 1830115 1830116 1830116 1830117 1830117 1830117 1830118 1830118 2803250 2803251 2803251 2803251 2803254 2803254 2803254 2803254 2803255 2803255 3802853 3802854 3802856 3802857 3802858 3802861 3802861 3802861 3802861 3802862 4824457 4824457 4824457 4824457 4824458 4824458 4824458 4824459 4824459 4824460 6017135 6017135 6017136 6017137 6017138 6017139 6017140 6017141 6017142 6017143 7606591 7606671 7606671 7606671 7606671 7606912 7607296 7607296 7607660 7607851 9371072 9371072 9371072 9371072 9371072 9371072 9371074 9371074 9371075 9371075 11053154 11053220 11053359 11053430 11053534 11053598 11053677 11053677 11053722 11053722 12638349 12638349 12638349 12638350 12638350 12638351 12638351 12638351 12638352 12638352 14406918 14406918 14406918 14406918 14406918 14415729 14415729 14415729 14415730 14415730 15589732 15589733 15589734 15589736 15589736 15589736 15589738 15589738 15589738 15589738
650,40545168,7059915,_0,z,6 25 36 41 42 43 43 43 49 53 907232 907233 907233 907233 907233 907234 907234 907235 907238 907239 1830117 1830117 1830118 1830127 1830137 1830140 1830142 1830154 1830156 1830156 2803250 2803254 2803254 2803255 2803255 2803255 2803265 2803269 2803274 2803277 3802854 3802854 3802861 3802862 3802864 3802876 3802876 3802880 3802880 3802883 4824458 4824458 4824458 4824467 4824470 4824475 4824475 4824479 4824479 4824480 6017168 6017178 6017179 6017179 6017181 6017188 6017188 6017188 6017191 6017200 7606671 7606912 7607296 7607851 7609426 7609426 7609662 7610450 7610450 7610450 9371072 9371075 9371075 9371076 9371076 9371079 9371079 9371079 9371080 9371080 11053677 11053677 11053863 11053863 11053863 11053863 11054305 11054305 11054414 11054436 12638375 12638398 12638458 12638458 12638458 12638458 12638458 12638458 12638486 12638486 14415743 14415760 14415760 14415765 14415766 14415772 14415772 14415779 14415782 14415782 15589732 15589733 15589736 15589740 15589740 15589743 15589743 15589744 15589744 15589749
650,40545168,4906060,_0,x,10 11 25 27 28 43 56 56 59 63 907211 907232 907234 907235 907247 907247 907249 907249 907256 907267 1830115 1830121 1830125 1830136 1830138 1830142 1830145 1830156 1830156 1830157 2803250 2803270 2803271 2803276 2803277 2803278 2803278 2803282 2803283 2803292 3802864 3802867 3802867 3802867 3802869 3802871 3802871 3802871 3802871 3802874 4824458 4824459 4824462 4824463 4824463 4824467 4824471 4824471 4824475 4824475 6017165 6017165 6017168 6017168 6017176 6017176 6017177 6017177 6017178 6017183 7606591 7606671 7606671 7606671 7607296 7607296 7607296 7609426 7609426 7610450 9371074 9371075 9371075 9371079 9371079 9371079 9371081 9371086 9371090 9371091 11053722 11053722 11053722 11054503 11054528 11054576 11054616 11054620 11054620 11054631 12638373 12638385 12638400 12638413 12638415 12638417 12638427 12638428 12638431 12638436 14406918 14415736 14415738 14415738 14415740 14415740 14415740 14415750 14415755 14415765 15589733 15589736 15589736 15589738 15589738 15589738 15589741 15589743 15589743 15589748
650,40545168,3491858,_0,v,9 9 19 19 22 38 86 92 92 97 907217 907217 907234 907234 907234 907241 907243 907245 907249 907249 1830116 1830116 1830143 1830143 1830162 1830168 1830174 1830181 1830190 1830190 2803251 2803254 2803254 2803264 2803264 2803275 2803280 2803289 2803289 2803290 3802853 3802854 3802862 3802864 3802864 3802870 3802876 3802876 3802885 3802896 4824457 4824457 4824457 4824457 4824463 4824463 4824465 4824466 4824466 4824466 6017145 6017145 6017165 6017165 6017181 6017181 6017181 6017181 6017181 6017182 7607660 7609662 7610710 7610710 7611182 7611182 7611248 7611248 7611248 7611248 9371080 9371080 9371080 9371086 9371086 9371087 9371091 9371093 9371094 9371094 11053154 11054305 11054305 11054436 11054494 11054494 11054497 11054516 11054524 11054524 12638363 12638393 12638398 12638458 12638458 12638488 12638497 12638518 12638569 12638602 14406918 14406918 14406918 14406918 14406918 14415729 14415729 14415729 14415735 14415735 15589744 15589744 15589746 15589750 15589750 15589750 15589750 15589754 15589754 15589763
650,40545168,1736206,07,a,2400 2400 2400 2400 4166 5086 5086 5086 49800 52250 941694 941694 953896 953896 953896 1026450 1026450 1026450 1075313 1133063 1843802 1911005 1911005 1911005 1965561 1965561 1965561 1965561 2010198 2010198 2829288 2829288 2858283 2858283 2858283 2866226 2914003 2914003 2935553 2935553 3804012 3804012 3815893 3815893 3844216 3844216 3862773 3862773 3862773 3866196 4826471 4826471 4826471 4826471 4827111 4827141 4827752 4833039 4834702 4834702 6019318 6019318 6020612 6020612 6020612 6024108 6028157 6031857 6031857 6033079 7622946 7622946 7633053 7633056 7639909 7639909 7639982 7639982 7640205 7640205 9378279 9378279 9378279 9378478 9378478 9378502 9378502 9378502 9378539 9378539 11055555 11055638 11063056 11063056 11070325 11070325 11071356 11071356 11071356 11071356 12638685 12648126 12648126 12654457 12654457 12654626 12656812 12657720 12661337 12663876 14423506 14423506 14423506 14423506 14423506 14423568 14423568 14424868 14424868 14425159 15589981 15589985 15589985 15589985 15590016 15590016 15590029 15590039 15590104 15590104
